Model,Manufacturer,Model_year,Drivetrain,Warranty,Accident,Condition,Battery,Mileage,knn,knn_2,Price
ID4,V사,y0,AWD,w8,No,Brand New,90.0,7090,39.94,39.94,39.95
Tay,P사,y0,AWD,w2,No,Pre-Owned,59.515,150359,117.89,117.89,117.89
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,4699,100.02,100.02,100.03
MY,T사,y0,AWD,w7,No,Brand New,90.0,9889,64.51,64.51,64.52
eT,A사,y0,AWD,w3,No,Nearly New,77.46,18825,74.0,74.0,74.0
i5,B사,y0,AWD,w7,No,Brand New,90.0,6471,64.16,64.16,64.17
ION6,H사,y0,AWD,w9,No,Brand New,90.0,6417,38.28,38.28,38.28
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,92028,151.01,151.01,151.02
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,21850,40.22,40.22,40.23
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,55381,33.42,33.42,33.43
ION6,H사,y0,AWD,w10,No,Brand New,90.0,1290,39.0,39.0,39.0
i5,B사,y0,RWD,w8,No,Brand New,90.0,4445,63.95,63.95,63.95
i3,B사,y0,RWD,w2,No,Pre-Owned,46.0,86955,23.33,23.33,23.34
i5,B사,y0,AWD,w0,No,Pre-Owned,56.234,103162,61.39,61.39,61.08
ID4,V사,y0,AWD,w1,No,Pre-Owned,57.861,121830,40.48,40.48,40.49
eT,A사,y0,AWD,w8,No,Brand New,95.0,2084,60.3,60.3,60.31
iX,B사,y0,RWD,w8,No,Brand New,90.0,7121,79.81,79.81,79.82
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,9249,159.99,159.99,160.0
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,1761,125.62,125.62,129.77
KNE,H사,y0,FWD,w10,No,Brand New,90.0,5117,21.37,21.37,21.37
i3,B사,y0,RWD,w8,No,Brand New,90.0,5445,24.96,24.96,24.96
M3,T사,y0,RWD,w4,No,Nearly New,63.701,42503,54.0,54.0,54.0
iX,B사,y0,RWD,w7,No,Brand New,90.0,5458,80.17,80.17,80.17
MS,T사,y1,AWD,w5,No,Nearly New,88.474,27552,83.15,83.15,83.15
ION5,H사,y0,AWD,w6,No,Nearly New,65.739,37142,35.0,35.0,35.0
eT,A사,y0,AWD,w0,No,Pre-Owned,65.791,81982,70.18,70.18,70.18
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,653,160.15,160.15,160.16
ID4,V사,y0,AWD,w7,No,Brand New,90.0,6367,34.84,34.84,34.84
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,8085,59.92,59.92,59.93
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,153130,22.42,22.42,22.44
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,3521,127.28,121.0,130.57
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,1281,130.15,121.0,130.15
iX,B사,y0,RWD,w7,No,Brand New,90.0,5125,79.4,79.4,79.4
Soul,K사,y2,AWD,w8,No,Nearly New,58.982,42106,23.62,23.62,23.62
MX,T사,y0,AWD,w3,No,Nearly New,81.537,30452,92.31,92.31,92.31
Niro,K사,y2,FWD,w8,No,Nearly New,58.982,31687,28.49,28.49,28.11
ION5,H사,y1,AWD,w7,Yes,Nearly New,68.479,22494,35.0,35.0,35.0
MY,T사,y0,AWD,w7,No,Brand New,90.0,4950,62.87,62.87,62.88
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,79908,94.18,94.18,94.19
iX,B사,y0,RWD,w7,No,Brand New,90.0,7275,79.81,79.81,79.41
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,9289,120.52,121.0,120.52
M3,T사,y0,RWD,w1,No,Pre-Owned,56.359,88614,52.79,52.79,52.79
RSeTGT,A사,y1,AWD,w5,No,Nearly New,78.227,30583,99.66,99.66,99.66
Tay,P사,y1,AWD,w1,No,Nearly New,70.071,11819,122.06,122.06,122.07
Q4eT,A사,y0,AWD,w4,No,Nearly New,69.646,10007,58.83,58.83,58.83
i3,B사,y2,RWD,w6,No,Nearly New,56.0,31830,23.15,23.15,23.15
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,7326,100.74,100.74,100.43
eT,A사,y1,AWD,w5,No,Nearly New,84.05,47168,73.43,73.43,73.43
ION6,H사,y0,AWD,w1,No,Pre-Owned,53.602,82720,37.1,37.1,36.42
Soul,K사,y2,AWD,w8,No,Nearly New,58.982,26239,23.3,23.3,23.31
i5,B사,y1,RWD,w5,No,Nearly New,71.841,12736,60.52,60.52,60.52
i3,B사,y0,RWD,w1,No,Pre-Owned,46.0,147019,23.45,23.45,23.46
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,1964,130.5,121.0,130.5
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,7324,100.2,100.2,100.1
MY,T사,y0,AWD,w1,No,Pre-Owned,56.359,195058,77.1,77.1,77.1
Q4eT,A사,y0,AWD,w2,No,Pre-Owned,64.186,147125,57.61,57.61,57.62
ION5,H사,y0,AWD,w10,No,Brand New,90.0,3773,35.95,35.95,35.95
TayCT,P사,y0,AWD,w2,Yes,Pre-Owned,76.093,146874,126.06,126.06,128.29
KNE,H사,y0,FWD,w5,No,Nearly New,68.488,16568,28.49,28.49,28.49
ID4,V사,y0,AWD,w8,No,Brand New,90.0,7333,40.8,40.8,40.81
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,179952,127.6,125.0,127.61
MX,T사,y0,AWD,w8,No,Brand New,99.8,162,72.66,72.66,72.66
ID4,V사,y0,AWD,w8,No,Brand New,90.0,1618,40.88,40.88,40.88
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,9083,160.12,160.12,160.12
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,9500,129.91,121.0,129.91
MY,T사,y0,AWD,w3,No,Nearly New,61.153,28099,78.93,78.93,78.94
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,184029,22.68,22.68,22.66
ION6,H사,y0,AWD,w2,No,Pre-Owned,55.836,166540,36.54,36.54,36.55
Soul,K사,y0,AWD,w10,No,Brand New,90.0,6892,17.35,17.35,17.48
eT,A사,y0,AWD,w1,No,Pre-Owned,71.388,91039,72.28,72.28,72.5
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,17068,41.77,41.77,41.78
EV6,K사,y0,FWD,w9,No,Brand New,90.0,655,40.52,40.52,40.52
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,6891,59.72,59.72,59.95
MX,T사,y0,AWD,w8,No,Brand New,99.8,3499,71.0,71.0,71.01
M3,T사,y0,RWD,w3,No,Nearly New,61.153,45686,53.97,53.97,53.97
ID4,V사,y0,AWD,w8,No,Brand New,90.0,109,40.98,40.98,40.98
MY,T사,y0,AWD,w7,No,Brand New,90.0,2999,63.61,63.61,63.62
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,8821,100.4,100.4,100.41
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,134774,128.59,125.0,124.96
MX,T사,y0,AWD,w8,No,Brand New,99.8,3584,71.19,71.19,72.26
eT,A사,y0,AWD,w7,No,Brand New,91.2,9367,66.05,66.05,66.05
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,11401,159.7,159.7,159.71
MY,T사,y0,AWD,w7,No,Brand New,90.0,1575,63.67,63.67,62.97
Niro,K사,y0,AWD,w3,No,Pre-Owned,48.093,128984,27.66,27.66,27.67
eT,A사,y0,AWD,w2,No,Pre-Owned,74.362,156470,72.06,72.06,72.5
IONIQ,H사,y1,FWD,w3,No,Pre-Owned,63.74,70305,20.0,20.0,20.01
ION5,H사,y0,AWD,w1,No,Pre-Owned,53.602,62893,34.24,34.24,34.25
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,157582,34.18,34.18,34.28
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,73.11,125269,156.95,156.95,156.95
i5,B사,y0,RWD,w8,No,Brand New,90.0,1071,64.5,64.5,64.33
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,70.185,180868,155.87,155.87,155.88
ID4,V사,y0,AWD,w8,No,Brand New,90.0,2955,39.34,39.34,39.34
i5,B사,y0,RWD,w7,No,Brand New,90.0,6808,64.08,64.08,64.09
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,177608,39.34,39.34,40.65
i5,B사,y1,RWD,w5,No,Nearly New,71.841,47296,60.12,60.12,60.12
i5,B사,y0,AWD,w7,No,Brand New,90.0,5159,65.65,65.65,65.66
ION6,H사,y0,AWD,w10,Yes,Brand New,90.0,6904,38.58,38.58,38.58
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,40855,159.0,159.0,159.0
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,136311,33.61,33.61,33.61
i3,B사,y1,RWD,w5,Yes,Nearly New,56.0,36169,23.82,23.82,23.82
Soul,K사,y2,AWD,w8,No,Nearly New,58.982,31389,23.41,23.41,23.42
i3,B사,y0,AWD,w2,Yes,Pre-Owned,46.0,117810,23.45,23.45,23.46
MS,T사,y0,AWD,w7,No,Brand New,96.0,3702,69.17,69.17,69.18
eT,A사,y0,AWD,w7,Yes,Brand New,91.2,7668,65.35,65.35,65.35
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,7795,100.14,100.14,100.15
i5,B사,y0,RWD,w0,No,Pre-Owned,56.234,66417,60.11,60.11,60.11
KNE,H사,y0,FWD,w5,No,Nearly New,68.488,21420,27.51,27.51,27.83
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,6320,59.63,59.63,59.64
Q4eT,A사,y0,AWD,w0,No,Pre-Owned,59.154,117765,55.34,55.34,55.34
i3,B사,y0,RWD,w2,Yes,Pre-Owned,46.0,76196,23.17,23.17,23.47
Soul,K사,y0,FWD,w1,No,Pre-Owned,46.0,195284,22.27,22.27,22.58
Tay,P사,y0,AWD,w2,No,Nearly New,67.268,25208,121.51,121.51,121.52
ID4,V사,y0,AWD,w7,No,Brand New,90.0,6391,34.28,34.28,34.29
i5,B사,y1,RWD,w5,No,Nearly New,71.841,33079,59.83,59.83,59.83
IONIQ,H사,y2,FWD,w3,No,Nearly New,46.34,29138,21.77,21.77,21.78
MS,T사,y0,AWD,w2,No,Pre-Owned,78.276,75106,80.98,80.98,80.99
Niro,K사,y0,FWD,w2,No,Pre-Owned,46.169,79040,27.3,27.3,26.92
MX,T사,y0,AWD,w3,No,Nearly New,81.537,35860,92.68,92.68,92.69
ION6,H사,y0,AWD,w1,No,Pre-Owned,53.602,172653,37.17,37.17,37.22
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,1912,160.6,160.6,160.61
MY,T사,y2,AWD,w6,No,Nearly New,69.12,24126,68.89,68.89,68.9
ID4,V사,y0,AWD,w7,No,Brand New,90.0,3288,33.18,33.18,33.18
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,47491,40.57,40.57,41.46
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,73.11,173841,155.98,155.98,155.99
MX,T사,y0,AWD,w7,No,Brand New,96.0,4614,78.04,78.04,78.05
ID4,V사,y0,AWD,w7,No,Brand New,90.0,5682,33.07,33.07,33.08
IONIQ,H사,y2,FWD,w3,No,Pre-Owned,83.08,65046,18.23,18.23,18.24
MX,T사,y0,AWD,w8,No,Brand New,99.8,3413,71.17,71.17,71.17
Tay,P사,y0,AWD,w2,No,Brand New,90.0,7242,103.71,95.0,103.25
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,41419,41.66,41.66,41.66
RSeTGT,A사,y0,AWD,w7,No,Brand New,90.0,4627,100.66,100.66,100.67
i3,B사,y2,RWD,w6,No,Nearly New,56.0,33661,23.95,23.95,23.96
ID4,V사,y0,AWD,w7,No,Brand New,90.0,2063,33.28,33.28,33.29
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,73,59.2,59.2,59.21
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,166787,127.5,125.0,127.51
i5,B사,y0,RWD,w0,No,Pre-Owned,58.577,73077,60.72,60.72,60.55
eT,A사,y0,AWD,w7,No,Brand New,91.2,9621,64.75,64.75,64.75
i5,B사,y0,RWD,w2,No,Pre-Owned,63.56,89185,62.77,62.77,62.77
i5,B사,y2,AWD,w6,No,Nearly New,74.834,44829,64.74,64.74,64.74
Niro,K사,y0,AWD,w5,No,Nearly New,56.0,42720,28.14,28.14,28.15
RSeTGT,A사,y0,AWD,w1,No,Pre-Owned,78.227,60558,97.39,97.39,97.4
MS,T사,y0,AWD,w8,No,Brand New,99.8,708,63.78,63.78,63.79
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,19074,53.49,53.49,52.4
i5,B사,y2,AWD,w6,No,Nearly New,74.834,26645,64.93,64.93,64.94
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,73.11,82067,155.8,155.8,155.8
ION6,H사,y1,AWD,w7,No,Nearly New,68.479,11314,37.95,37.95,37.96
ION5,H사,y0,AWD,w10,No,Brand New,90.0,4261,35.93,35.93,35.93
M3,T사,y2,RWD,w6,No,Nearly New,69.12,13289,50.59,50.59,50.59
ID4,V사,y0,AWD,w8,No,Brand New,90.0,7216,40.38,40.38,40.2
Soul,K사,y0,FWD,w2,No,Pre-Owned,46.169,102415,23.26,23.26,23.26
i5,B사,y0,RWD,w8,No,Brand New,90.0,5141,65.16,65.16,64.94
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,15142,22.73,22.73,22.73
ION6,H사,y0,AWD,w9,Yes,Brand New,90.0,5757,38.54,38.54,38.54
Soul,K사,y0,FWD,w4,No,Pre-Owned,50.096,88795,23.35,23.35,23.36
Q4eT,A사,y0,AWD,w8,No,Brand New,90.0,7781,59.82,59.82,59.82
TayGTS,P사,y0,AWD,w2,Yes,Brand New,90.0,3773,160.42,160.42,160.0
eT,A사,y0,AWD,w4,No,Nearly New,80.688,28530,73.99,73.99,74.02
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,94638,27.27,27.27,27.28
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,1357,160.03,160.03,160.04
ID4,V사,y1,AWD,w5,No,Nearly New,68.125,18128,40.52,40.52,40.52
ION6,H사,y0,AWD,w9,No,Brand New,90.0,2245,38.72,38.72,38.73
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,4058,101.01,101.01,101.01
EV6,K사,y0,AWD,w9,No,Brand New,90.0,8764,40.47,40.47,40.48
Tay,P사,y0,AWD,w2,No,Nearly New,67.268,12834,121.42,121.42,121.42
KNE,H사,y0,FWD,w5,No,Nearly New,68.488,42006,27.75,27.75,27.89
KNE,H사,y0,FWD,w2,No,Pre-Owned,68.488,78287,27.65,27.65,27.65
ID4,V사,y2,AWD,w6,No,Nearly New,70.963,24439,36.97,36.97,36.98
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,85766,37.29,37.29,37.29
EV6,K사,y0,AWD,w9,No,Brand New,90.0,9580,40.48,40.48,40.11
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,4243,160.19,160.19,160.19
IONIQ,H사,y0,FWD,w3,No,Nearly New,58.29,20488,20.83,20.83,20.84
MY,T사,y0,AWD,w7,No,Brand New,90.0,1228,64.44,64.44,64.45
ID4,V사,y0,AWD,w7,No,Brand New,90.0,9077,34.21,34.21,34.22
TayGTS,P사,y0,AWD,w2,No,Nearly New,76.156,11587,159.18,159.18,159.0
ION5,H사,y0,AWD,w9,No,Brand New,90.0,978,35.82,35.82,35.82
i3,B사,y0,RWD,w0,No,Pre-Owned,46.0,169115,22.22,22.22,22.22
Soul,K사,y0,FWD,w3,No,Pre-Owned,48.093,105637,23.37,23.37,23.37
RSeTGT,A사,y0,AWD,w0,No,Pre-Owned,78.227,108315,94.22,94.22,94.23
iX,B사,y0,AWD,w7,No,Brand New,90.0,5233,79.93,79.93,79.93
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,46898,53.3,53.3,53.31
Soul,K사,y0,FWD,w4,No,Pre-Owned,50.096,156479,22.93,22.93,22.94
Soul,K사,y0,FWD,w9,No,Brand New,90.0,1330,21.37,21.37,21.38
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,161594,40.06,40.06,40.07
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,128592,125.39,125.0,125.4
EV6,K사,y0,FWD,w9,No,Brand New,90.0,7452,39.91,39.91,39.92
KNE,H사,y0,FWD,w9,No,Brand New,90.0,8743,25.27,25.27,25.44
iX,B사,y0,RWD,w8,No,Brand New,90.0,3247,80.09,80.09,80.09
MX,T사,y1,AWD,w5,No,Nearly New,88.474,21431,94.52,94.52,94.53
Niro,K사,y0,FWD,w4,No,Pre-Owned,50.096,164654,27.88,27.88,27.88
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,94692,41.09,41.09,41.09
MS,T사,y0,AWD,w8,No,Brand New,99.8,5458,64.16,64.16,64.17
iX,B사,y0,RWD,w7,No,Brand New,90.0,6150,79.86,79.86,79.87
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,24994,119.17,119.17,119.17
KNE,H사,y0,FWD,w10,No,Brand New,90.0,3924,22.21,22.21,22.21
MS,T사,y0,AWD,w7,No,Brand New,96.0,4456,68.95,68.95,68.95
Niro,K사,y0,AWD,w3,No,Pre-Owned,48.093,194788,28.75,28.75,28.75
Niro,K사,y2,AWD,w8,No,Nearly New,58.982,22529,26.89,26.89,26.89
KNE,H사,y0,FWD,w4,No,Pre-Owned,68.488,166365,28.3,28.3,28.31
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,19123,40.86,40.86,40.87
i5,B사,y0,RWD,w2,No,Pre-Owned,63.56,53548,62.85,62.85,61.87
Q4eT,A사,y1,AWD,w5,No,Nearly New,72.548,45481,57.34,57.34,57.34
MX,T사,y1,AWD,w5,No,Nearly New,88.474,12217,94.74,94.74,94.75
i3,B사,y0,RWD,w8,No,Brand New,90.0,4733,24.82,24.82,24.82
ION6,H사,y0,AWD,w9,Yes,Brand New,90.0,5653,38.25,38.25,38.26
iX,B사,y0,AWD,w7,No,Brand New,90.0,4422,80.07,80.07,80.08
eT,A사,y0,AWD,w0,No,Pre-Owned,68.532,180797,69.48,69.48,69.48
i3,B사,y0,RWD,w4,No,Nearly New,56.0,44575,24.0,24.0,24.0
i5,B사,y0,RWD,w7,No,Brand New,90.0,2940,64.75,64.75,65.36
ION5,H사,y0,AWD,w4,No,Pre-Owned,60.585,192655,35.0,35.0,35.0
Tay,P사,y0,AWD,w2,No,Brand New,90.0,527,104.26,95.0,104.27
ID4,V사,y1,AWD,w5,No,Nearly New,68.125,29470,41.05,41.05,41.05
Tay,P사,y0,AWD,w2,No,Nearly New,64.578,11996,121.74,121.74,121.75
RSeTGT,A사,y1,AWD,w5,No,Nearly New,78.227,48141,99.01,99.01,99.02
ION6,H사,y0,AWD,w9,No,Brand New,90.0,7661,38.73,38.73,39.0
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,4908,100.01,100.01,100.01
ID4,V사,y0,AWD,w4,No,Nearly New,65.4,31362,41.23,41.23,41.06
EV6,K사,y0,FWD,w9,No,Brand New,90.0,3691,39.91,39.91,39.92
ID4,V사,y0,AWD,w8,No,Brand New,90.0,5656,40.71,40.71,40.65
ION5,H사,y0,AWD,w1,No,Pre-Owned,53.602,109178,34.02,34.02,34.02
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,12756,23.7,23.7,23.7
eT,A사,y0,AWD,w7,No,Brand New,91.2,450,65.87,65.87,65.88
i5,B사,y0,AWD,w0,No,Pre-Owned,56.234,152538,60.15,60.15,60.15
MS,T사,y0,AWD,w0,No,Pre-Owned,69.253,96490,78.27,78.27,78.27
iX,B사,y0,RWD,w7,No,Brand New,90.0,1383,79.86,79.86,79.87
TayCT,P사,y0,AWD,w2,No,Brand New,90.0,5316,120.42,121.0,120.42
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,15113,23.26,23.26,23.26
IONIQ,H사,y1,FWD,w3,No,Nearly New,66.85,39400,17.57,17.57,17.57
Tay,P사,y0,AWD,w2,No,Pre-Owned,57.134,180613,115.18,115.18,115.19
Q4eT,A사,y0,AWD,w2,No,Pre-Owned,64.186,76739,57.6,57.6,57.61
Soul,K사,y0,FWD,w6,No,Nearly New,56.0,15148,22.8,22.8,22.54
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,8913,160.18,160.18,160.18
Q4eT,A사,y1,AWD,w5,No,Nearly New,72.548,10806,58.63,58.63,58.64
TayCT,P사,y0,AWD,w2,No,Pre-Owned,76.093,165244,125.46,125.0,127.54
Soul,K사,y0,FWD,w10,No,Brand New,90.0,9829,17.44,17.44,17.45
Niro,K사,y0,AWD,w3,No,Pre-Owned,48.093,97318,27.45,27.45,27.46
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,6689,159.99,159.99,160.0
ID4,V사,y0,AWD,w2,No,Pre-Owned,60.272,150677,40.99,40.99,40.99
MX,T사,y0,AWD,w1,No,Pre-Owned,75.145,78734,90.11,90.11,90.11
Tay,P사,y0,AWD,w2,No,Brand New,90.0,4798,103.21,95.0,103.22
Soul,K사,y2,FWD,w8,No,Nearly New,58.982,31539,22.76,22.76,22.76
TayGTS,P사,y0,AWD,w2,No,Brand New,93.4,6047,160.79,160.79,160.79
ION5,H사,y0,AWD,w2,No,Pre-Owned,55.836,61258,34.28,34.28,34.28
Niro,K사,y0,AWD,w9,No,Brand New,90.0,4827,24.32,24.32,24.33
Niro,K사,y0,FWD,w5,No,Nearly New,56.0,40630,28.0,28.0,28.48
IONIQ,H사,y2,FWD,w1,No,Nearly New,61.58,34448,19.9,19.9,10.92
Q4eT,A사,y0,AWD,w7,No,Brand New,90.0,9226,59.91,59.91,59.91
Niro,K사,y0,AWD,w5,No,Nearly New,56.0,18505,28.03,28.03,28.47
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,64.683,194796,150.99,150.99,151.0
EV6,K사,y0,FWD,w10,No,Brand New,90.0,7420,47.61,47.61,47.61
i3,B사,y1,AWD,w5,No,Nearly New,56.0,32823,23.86,23.86,23.86
eT,A사,y0,AWD,w0,No,Pre-Owned,65.791,111342,70.17,70.17,70.17
EV6,K사,y0,AWD,w9,No,Brand New,90.0,4958,40.82,40.82,40.83
i5,B사,y0,RWD,w3,No,Nearly New,66.208,35260,64.42,64.42,64.43
MS,T사,y1,AWD,w5,No,Nearly New,88.474,12691,84.44,84.44,84.44
ID4,V사,y0,AWD,w8,No,Brand New,90.0,2036,40.28,40.28,40.28
i5,B사,y2,RWD,w6,No,Nearly New,74.834,11611,63.56,63.56,63.57
MX,T사,y0,AWD,w8,No,Brand New,99.8,3993,72.13,72.13,72.13
M3,T사,y0,RWD,w8,No,Brand New,90.0,978,54.56,54.56,54.57
Soul,K사,y0,AWD,w9,No,Brand New,90.0,8185,20.71,20.71,20.72
ID4,V사,y0,AWD,w0,Yes,Pre-Owned,55.547,119815,39.41,39.41,39.42
ION6,H사,y0,AWD,w10,No,Brand New,90.0,8433,38.54,38.54,38.54
iX,B사,y0,RWD,w7,No,Brand New,90.0,6318,79.6,79.6,79.6
i3,B사,y0,RWD,w3,No,Nearly New,56.0,25713,23.88,23.88,23.29
ION5,H사,y0,AWD,w9,No,Brand New,90.0,695,35.9,35.9,35.67
eT,A사,y0,AWD,w8,No,Brand New,95.0,7011,60.11,60.11,60.33
ION6,H사,y0,AWD,w4,No,Pre-Owned,60.585,109149,37.6,37.6,37.6
MY,T사,y0,AWD,w7,No,Brand New,90.0,1748,64.11,64.11,64.11
ID4,V사,y0,AWD,w7,No,Brand New,90.0,1179,34.31,34.31,33.19
IONIQ,H사,y0,FWD,w1,No,Pre-Owned,46.15,57374,12.09,12.09,12.09
ION6,H사,y0,AWD,w9,No,Brand New,90.0,1962,38.92,38.92,38.92
Q4eT,A사,y1,AWD,w5,No,Nearly New,72.548,37500,57.52,57.52,58.95
Q4eT,A사,y0,AWD,w3,No,Nearly New,66.861,22814,59.0,59.0,59.0
MY,T사,y0,AWD,w8,No,Brand New,90.0,8107,75.11,75.11,75.93
EV6,K사,y0,FWD,w9,No,Brand New,90.0,2250,41.03,41.03,41.04
M3,T사,y0,RWD,w7,No,Brand New,90.0,6862,45.71,45.71,45.72
TayCT,P사,y0,AWD,w2,No,Nearly New,76.093,24737,130.73,130.73,130.73
KNE,H사,y0,FWD,w9,No,Brand New,90.0,2029,24.1,24.1,24.11
i5,B사,y1,RWD,w5,No,Nearly New,71.841,29704,60.37,60.37,60.38
iX,B사,y0,RWD,w7,No,Brand New,90.0,6985,79.43,79.43,79.43
TayCT,P사,y2,AWD,w0,No,Nearly New,76.093,41038,119.04,119.04,119.04
Niro,K사,y2,FWD,w8,No,Nearly New,58.982,35064,28.43,28.43,28.44
M3,T사,y0,RWD,w8,No,Brand New,90.0,4118,54.82,54.82,55.0
TayGTS,P사,y0,AWD,w2,No,Brand New,90.0,6231,160.07,160.07,160.0
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,70.185,140500,155.98,155.98,155.98
i5,B사,y1,RWD,w5,No,Nearly New,71.841,39638,61.14,61.14,60.26
Soul,K사,y1,AWD,w7,No,Nearly New,56.623,24502,23.71,23.71,23.72
ID4,V사,y0,AWD,w3,No,Nearly New,62.784,48573,41.29,41.29,41.29
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,64.683,174001,151.16,151.16,151.17
iX,B사,y0,RWD,w8,No,Brand New,90.0,9938,79.26,79.26,79.26
ION6,H사,y0,AWD,w5,No,Nearly New,63.11,43400,37.99,37.99,38.0
RSeTGT,A사,y0,AWD,w8,No,Brand New,90.0,992,100.02,100.02,100.03
MS,T사,y0,AWD,w0,No,Pre-Owned,69.253,192252,77.86,77.86,77.86
MY,T사,y0,AWD,w8,No,Brand New,90.0,1038,74.83,74.83,74.83
ION5,H사,y0,AWD,w10,No,Brand New,90.0,3556,35.72,35.72,35.76
Tay,P사,y0,AWD,w2,No,Pre-Owned,61.994,63378,118.4,118.4,118.4
Soul,K사,y0,FWD,w3,No,Pre-Owned,48.093,154193,22.69,22.69,22.69
i5,B사,y0,RWD,w4,No,Nearly New,68.967,15398,64.63,64.63,64.63
EV6,K사,y0,AWD,w10,No,Brand New,90.0,2365,47.92,47.92,47.93
TayGTS,P사,y0,AWD,w2,No,Pre-Owned,67.378,82716,151.03,151.03,151.03
Q4eT,A사,y2,AWD,w6,No,Nearly New,75.571,49514,52.55,52.55,52.55
IONIQ,H사,y2,FWD,w1,No,Pre-Owned,64.88,52625,13.87,13.87,13.88
KNE,H사,y0,FWD,w4,No,Pre-Owned,68.488,182242,27.81,27.81,27.61
MS,T사,y2,AWD,w6,No,Nearly New,92.16,27583,75.32,75.32,75.43
KNE,H사,y0,FWD,w4,No,Pre-Owned,68.488,175870,28.5,28.5,28.51
RSeTGT,A사,y1,AWD,w5,No,Nearly New,78.227,14598,99.17,99.17,99.0
M3,T사,y0,RWD,w0,No,Pre-Owned,54.104,157244,51.21,51.21,51.22
MS,T사,y2,AWD,w6,No,Nearly New,92.16,31445,75.65,75.65,75.65
ION5,H사,y0,AWD,w9,No,Brand New,90.0,2290,35.21,35.21,35.21
MX,T사,y0,AWD,w0,No,Pre-Owned,69.253,163265,88.99,88.99,88.99
Soul,K사,y0,FWD,w9,No,Brand New,90.0,9324,20.99,20.99,20.99
iX,B사,y0,RWD,w7,No,Brand New,90.0,998,80.17,80.17,80.18
MY,T사,y0,AWD,w1,No,Pre-Owned,56.359,63396,75.66,75.66,75.67
iX,B사,y0,RWD,w8,No,Brand New,90.0,1009,80.63,80.63,80.63
RSeTGT,A사,y1,AWD,w5,No,Nearly New,78.227,46131,99.06,99.06,99.07
